_ - name,rank,enlabel,gov identfier,award,_ - external_url
2/LT CYRUS ADDIE PITHAWALLA,Second Lieutenant,Cyrus Addie Pithawalla,cyrus-addie-pithawalla,Ashok Chakra,http://gallantryawards.gov.in/Awardee/cyrus-addie-pithawalla
2/LT POLUR MUTHUSWAMY RAMAN,Second Lieutenant,Polur Muthuswamy Raman,polur-muthuswamy-raman,Ashok Chakra,http://gallantryawards.gov.in/Awardee/polur-muthuswamy-raman
2/LT PUNEET NATH DATT,Second Lieutenant,Puneet Nath Dutt,puneet-nath-datt,Ashok Chakra,http://gallantryawards.gov.in/Awardee/puneet-nath-datt
2/LT RAKESH SINGH,Second Lieutenant,Rakesh Singh,rakesh-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/rakesh-singh
A/L/NK SUNDAR SINGH,A/l/nk ,Sundar Singh,sundar-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/sundar-singh
BAIJ NATH SINGH,,Baij Nath Singh,baij-nath-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/baij-nath-singh
BHURE LAL,,Bhure Lal,bhure-lal,Ashok Chakra,http://gallantryawards.gov.in/Awardee/bhure-lal
"CAPT ARUN SINGH JASROTIA, SM","Capt , Sm",Arun Singh Jasrotia,arun-singh-jasrotia-sm,Ashok Chakra,http://gallantryawards.gov.in/Awardee/arun-singh-jasrotia-sm
CAPT ERIC JAMES TUCKER,Capt ,Eric James Tucker,eric-james-tucker,Ashok Chakra,http://gallantryawards.gov.in/Awardee/eric-james-tucker
CAPT HARSHAN R,Capt ,Harshan R,harshan-r,Ashok Chakra,http://gallantryawards.gov.in/Awardee/harshan-r
CAPT JAS RAM SINGH,Capt ,Jas Ram Singh,jas-ram-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/jas-ram-singh
CAPT JASBIR SINGH RAINA,Capt ,Jasbir Singh Raina,jasbir-singh-raina,Ashok Chakra,http://gallantryawards.gov.in/Awardee/jasbir-singh-raina
"CAPT MAN BAHADUR RAI, MC, IDSM","Capt , Mc, Idsm",Man Bahadur Rai,man-bahadur-rai-mc-idsm,Ashok Chakra,http://gallantryawards.gov.in/Awardee/man-bahadur-rai-mc-idsm
CAPT SANDEEP SHANKLA,Capt ,Sandeep Shankla,sandeep-shankla,Ashok Chakra,http://gallantryawards.gov.in/Awardee/sandeep-shankla
CAPT UMMED SINGH MAHRA,Capt ,Ummed Singh Mahra,ummed-singh-mahra,Ashok Chakra,http://gallantryawards.gov.in/Awardee/ummed-singh-mahra
CHAMAN LAL,,Chaman Lal,chaman-lal,Ashok Chakra,http://gallantryawards.gov.in/Awardee/chaman-lal
COL JOJAN THOMAS,Col ,Jojan Thomas,jojan-thomas,Ashok Chakra,http://gallantryawards.gov.in/Awardee/jojan-thomas
"COL NEELAKANTAN JAYACHANDRAN NAIR, KC","Col , Kc",Neelakantan Jayachandran Nair,neelakantan-jayachandran-nair-kc,Ashok Chakra,http://gallantryawards.gov.in/Awardee/neelakantan-jayachandran-nair-kc
COL VASANTH VENUGOPAL,Col ,Vasanth Venugopal,vasanth-venugopal,Ashok Chakra,http://gallantryawards.gov.in/Awardee/vasanth-venugopal
COLONEL YURIE VASILEVICH MALYSHEV,Colonel ,Yury Vasilyevich Malyshev,colonel-yurie-vasilevich-malyshev,Ashok Chakra,http://gallantryawards.gov.in/Awardee/colonel-yurie-vasilevich-malyshev
Constable Tukaram Gopal Ombale,Constable ,Tukaram Gopal Ombale,constable-tukaram-gopal-ombale,Ashok Chakra,http://gallantryawards.gov.in/Awardee/constable-tukaram-gopal-ombale
CORPORAL JYOTI PRAKASH NIRALA,Corporal ,Jyoti Prakash Nirala,corporal-jyoti-prakash-nirala,Ashok Chakra,http://gallantryawards.gov.in/Awardee/corporal-jyoti-prakash-nirala
D. K. JATAR,,D. K. Jatar,d-k-jatar,Ashok Chakra,http://gallantryawards.gov.in/Awardee/d-k-jatar
DHANPAT SINGH,,Dhanpat Singh,dhanpat-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/dhanpat-singh
FLT LT SUHAS BISWAS,Flt Lt ,Suhas Biswas,flt-lt-suhas-biswas,Ashok Chakra,http://gallantryawards.gov.in/Awardee/flt-lt-suhas-biswas
GOVIND SINGH,,Govind Singh,govind-singh-0,Ashok Chakra,http://gallantryawards.gov.in/Awardee/govind-singh-0
HAV BACHITTAR SINGH,Hav ,Bhai Bachittar Singh,bachittar-singh-4,Ashok Chakra,http://gallantryawards.gov.in/Awardee/bachittar-singh-4
HAV BAHADUR SINGH BOHRA,Hav ,Bahadur Singh Bohra,bahadur-singh-bohra,Ashok Chakra,http://gallantryawards.gov.in/Awardee/bahadur-singh-bohra
HAV GAJENDER SINGH,Hav ,Gajender Singh,gajender-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/gajender-singh
HAV HANGPAN DADA,Hav ,Hangpan Dada,hangpan-dada,Ashok Chakra,http://gallantryawards.gov.in/Awardee/hangpan-dada
HAV JOGINDER SINGH,Hav ,Joginder Singh,joginder-singh-1,Ashok Chakra,http://gallantryawards.gov.in/Awardee/joginder-singh-1
HAV RAJESH KUMAR,Hav ,Rajesh Kumar,rajesh-kumar-1,Ashok Chakra,http://gallantryawards.gov.in/Awardee/rajesh-kumar-1
HUKUM SINGH,,Hukum Singh,hukum-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/hukum-singh
JAGDISH PRASAD YADAV,,Jagdish Prasad Yadav,jagdish-prasad-yadav,Ashok Chakra,http://gallantryawards.gov.in/Awardee/jagdish-prasad-yadav
KAMLESH KUMARI,,Kamlesh Kumari,kamlesh-kumari,Ashok Chakra,http://gallantryawards.gov.in/Awardee/kamlesh-kumari
L/HAV CHHERING MUTUP,L/hav ,Chhering Mutup,chhering-mutup,Ashok Chakra,http://gallantryawards.gov.in/Awardee/chhering-mutup
L/NK MOHAN NATH GOSWAMI,L/nk ,Mohan Nath Goswami,mohan-nath-goswami,Ashok Chakra,http://gallantryawards.gov.in/Awardee/mohan-nath-goswami
LAJJA RAM,,Lajja Ram Tomar,lajja-ram,Ashok Chakra,http://gallantryawards.gov.in/Awardee/lajja-ram
LAKHAN SINGH,,Lakhan Singh,lakhan-singh,Ashok Chakra,http://gallantryawards.gov.in/Awardee/lakhan-singh
Late Ashok Mamtrao kamte,Late ,Ashok Mamtrao Kamte,late-ashok-mamtrao-kamte,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-ashok-mamtrao-kamte
Late Hemant Kamlakar Karkare,Late ,Hemant Karkare,late-hemant-kamlakar-karkare,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-hemant-kamlakar-karkare
Late KLVSSHNV Prasad Babu,Late Klvsshnv Prasad Babu,K. Prasad Babu,late-klvsshnv-prasad-babu,Ashok Chakra,http://gallantryawards.gov.in/Awardee/late-klvsshnv-prasad-babu
